blend,lightgbm_weight,catboost_weight,fold,roc_auc,average_precision
lgbm_50_catboost_50,0.5,0.5,1,0.7938898266064491,0.2947950832309046
lgbm_60_catboost_40,0.6,0.4,1,0.7939252317720933,0.2950190145308449
lgbm_70_catboost_30,0.7,0.3,1,0.7938497647900842,0.295013696312428
lgbm_80_catboost_20,0.8,0.1999999999999999,1,0.7936708960516226,0.294831906327767
lgbm_50_catboost_50,0.5,0.5,2,0.7936290900752518,0.2876435025127107
lgbm_60_catboost_40,0.6,0.4,2,0.7936062428616485,0.2876116947425482
lgbm_70_catboost_30,0.7,0.3,2,0.7934801772848873,0.2873902132398693
lgbm_80_catboost_20,0.8,0.1999999999999999,2,0.7932502392849663,0.2870593535745363
lgbm_50_catboost_50,0.5,0.5,3,0.793213718169223,0.2859510143850759
lgbm_60_catboost_40,0.6,0.4,3,0.7932119124314657,0.286119430997304
lgbm_70_catboost_30,0.7,0.3,3,0.7931046582775956,0.2861291979493456
lgbm_80_catboost_20,0.8,0.1999999999999999,3,0.7928941038686521,0.2858906886025615
