feature_set,fold,transformed_feature_count,roc_auc,average_precision
advanced_all_transformed,1,365,0.7928187559015688,0.29168345998951445
advanced_all_transformed,2,365,0.7923075554286195,0.28565435726050514
advanced_all_transformed,3,365,0.7916969715546286,0.2862580094821622
advanced_drop_35_weakest_transformed,1,330,0.79302165429152,0.2932269031054964
advanced_drop_35_weakest_transformed,2,330,0.7927567689679564,0.2861656495144693
advanced_drop_35_weakest_transformed,3,330,0.7915891095032465,0.28535282852173033
advanced_drop_150_weakest_transformed,1,215,0.7924385392801025,0.29141586187679236
advanced_drop_150_weakest_transformed,2,215,0.7923486740007526,0.2850904261966383
advanced_drop_150_weakest_transformed,3,215,0.7917952072795855,0.28621620984780816
advanced_drop_2_weakest_transformed,1,363,0.792999353410389,0.2936818172788159
advanced_drop_2_weakest_transformed,2,363,0.792493191764397,0.2857309274547891
advanced_drop_2_weakest_transformed,3,363,0.7921539963426115,0.2847895904594966
