feature_set,metric,value
advanced_all_transformed,roc_auc_mean,0.7922744276282723
advanced_all_transformed,roc_auc_std,0.00045856523972560625
advanced_all_transformed,average_precision_mean,0.28786527557739394
advanced_all_transformed,average_precision_std,0.0027110881154864723
advanced_all_transformed,transformed_feature_count_mean,365.0
advanced_drop_150_weakest_transformed,roc_auc_mean,0.7921941401868136
advanced_drop_150_weakest_transformed,roc_auc_std,0.0002844638705356908
advanced_drop_150_weakest_transformed,average_precision_mean,0.28757416597374624
advanced_drop_150_weakest_transformed,average_precision_std,0.0027550944044226013
advanced_drop_150_weakest_transformed,transformed_feature_count_mean,215.0
advanced_drop_2_weakest_transformed,roc_auc_mean,0.7925488471724659
advanced_drop_2_weakest_transformed,roc_auc_std,0.00034735216168973483
advanced_drop_2_weakest_transformed,average_precision_mean,0.2880674450643672
advanced_drop_2_weakest_transformed,average_precision_std,0.003988517716015723
advanced_drop_2_weakest_transformed,transformed_feature_count_mean,363.0
advanced_drop_35_weakest_transformed,roc_auc_mean,0.792455844254241
advanced_drop_35_weakest_transformed,roc_auc_std,0.000622341227460737
advanced_drop_35_weakest_transformed,average_precision_mean,0.28824846038056534
advanced_drop_35_weakest_transformed,average_precision_std,0.003535895781422612
advanced_drop_35_weakest_transformed,transformed_feature_count_mean,330.0
