model,seed,fold,transformed_feature_count,catboost_best_iteration,catboost_categorical_feature_count,roc_auc,average_precision
lightgbm_component,42,1,364.0,,,0.7902816906074667,0.2875401923720827
native_catboost_component,42,1,,1193.0,14.0,0.7903577973046103,0.289012199636967
native_50_50_blend,42,1,364.0,1193.0,14.0,0.7918929125620473,0.2913108159541847
lightgbm_component,42,2,364.0,,,0.8001979827984208,0.3005402337503726
native_catboost_component,42,2,,1195.0,14.0,0.8000272455680131,0.2985258340700152
native_50_50_blend,42,2,364.0,1195.0,14.0,0.8018477503908401,0.30310634897830097
lightgbm_component,42,3,364.0,,,0.7912430649689414,0.28104723507996593
native_catboost_component,42,3,,1199.0,14.0,0.7902464892074614,0.28143875317522177
native_50_50_blend,42,3,364.0,1199.0,14.0,0.7922533454506286,0.2837320712519102
lightgbm_component,42,4,364.0,,,0.7970430614456847,0.29826074948457587
native_catboost_component,42,4,,1196.0,14.0,0.7977574845557832,0.2948257770197948
native_50_50_blend,42,4,364.0,1196.0,14.0,0.7990348343030037,0.2997188153024705
lightgbm_component,42,5,364.0,,,0.789323884023155,0.28216030015615184
native_catboost_component,42,5,,1199.0,14.0,0.7901261961772451,0.27854131262706083
native_50_50_blend,42,5,364.0,1199.0,14.0,0.7912934521700365,0.28344328804630964
lightgbm_component,123,1,364.0,,,0.7921655629165023,0.2898809263176334
native_catboost_component,123,1,,1199.0,14.0,0.791972171965939,0.2881683358678298
native_50_50_blend,123,1,364.0,1199.0,14.0,0.7937118782982523,0.29238648120162614
lightgbm_component,123,2,363.0,,,0.7980648878068086,0.289985659803765
native_catboost_component,123,2,,1180.0,14.0,0.7960246514678933,0.2899719169847595
native_50_50_blend,123,2,363.0,1180.0,14.0,0.7986790281319217,0.2927045335793086
lightgbm_component,123,3,364.0,,,0.796206040404415,0.2921494384866165
native_catboost_component,123,3,,1194.0,14.0,0.7967454869763212,0.2923793642679871
native_50_50_blend,123,3,364.0,1194.0,14.0,0.798061517735242,0.2953861539878763
lightgbm_component,123,4,364.0,,,0.7938705344970909,0.28998086378600074
native_catboost_component,123,4,,1199.0,14.0,0.7939137148749527,0.2865466475021631
native_50_50_blend,123,4,364.0,1199.0,14.0,0.7955207331451759,0.29125300704879137
lightgbm_component,123,5,364.0,,,0.788318826083663,0.2859630240023179
native_catboost_component,123,5,,1199.0,14.0,0.7891139421018498,0.28203144302040506
native_50_50_blend,123,5,364.0,1199.0,14.0,0.7903244176593817,0.28704559768978005
lightgbm_component,2024,1,364.0,,,0.7941156705662977,0.2897316830529296
native_catboost_component,2024,1,,1199.0,14.0,0.7946886901579301,0.2882717426591488
native_50_50_blend,2024,1,364.0,1199.0,14.0,0.7959976370017624,0.29195287331220093
lightgbm_component,2024,2,364.0,,,0.7931033800980637,0.27809847725966097
native_catboost_component,2024,2,,1197.0,14.0,0.793064104158296,0.2791518285336682
native_50_50_blend,2024,2,364.0,1197.0,14.0,0.7947316198443136,0.28113739549701827
lightgbm_component,2024,3,364.0,,,0.7981451389719012,0.2951825936654874
native_catboost_component,2024,3,,1196.0,14.0,0.7978671686292079,0.29164085018527336
native_50_50_blend,2024,3,364.0,1196.0,14.0,0.799698781150919,0.2966801946630001
lightgbm_component,2024,4,364.0,,,0.7904931670463073,0.2946996381822716
native_catboost_component,2024,4,,1198.0,14.0,0.791648916346541,0.2962358374779437
native_50_50_blend,2024,4,364.0,1198.0,14.0,0.7926694317284508,0.299400629277104
lightgbm_component,2024,5,364.0,,,0.7908200924878024,0.2900365721555391
native_catboost_component,2024,5,,1198.0,14.0,0.7909370118840088,0.28918681172534216
native_50_50_blend,2024,5,364.0,1198.0,14.0,0.792470137950816,0.29273789144935464
