transformed_feature,gain_importance
numeric__EXT_SOURCE_MEAN,643932.6068601608
numeric__EXT_SOURCE_MIN,129140.5297498703
numeric__EXT_SOURCE_MAX,91619.14479160309
numeric__CREDIT_TERM_APPROX,72712.79232692719
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,56978.67999458313
numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,47992.85039997101
numeric__GOODS_CREDIT_RATIO,44096.79452037811
numeric__AGE_YEARS,42405.79432964325
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,36261.74136352539
numeric__AMT_ANNUITY,31791.58729839325
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,30891.53044319153
numeric__INST_AMT_PAYMENT_SUM,22833.940947532654
numeric__EXT_SOURCE_3,22198.511651992798
numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,21147.64485836029
categorical__NAME_EDUCATION_TYPE_Higher education,20886.916624069214
numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,20070.83166408539
numeric__DAYS_EMPLOYED,19852.69700527191
numeric__AMT_GOODS_PRICE,18802.987382888794
numeric__EMPLOYMENT_AGE_RATIO,18336.096251487732
numeric__EXT_SOURCE_1,17716.167669296265
numeric__ANNUITY_INCOME_RATIO,17413.806856155396
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,17352.722264289856
categorical__CODE_GENDER_F,16752.590530395508
numeric__EMPLOYED_YEARS,16603.917791366577
numeric__EXT_SOURCE_2,15847.657589912415
numeric__AMT_CREDIT,15384.196667671204
categorical__CODE_GENDER_M,13920.14366531372
numeric__EXT_SOURCE_COUNT,13562.407041549683
numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,13337.42558002472
numeric__CC_CC_UTILIZATION_RATIO_MAX,13288.826122283936
numeric__PREV_DAYS_LAST_DUE_MAX,13210.081171035767
numeric__ANNUITY_PER_PERSON,13077.088102340698
numeric__INST_AMT_PAYMENT_MIN,12854.500064849854
numeric__INST_AMT_PAYMENT_MEAN,12658.885040283203
numeric__POS_POS_COMPLETION_RATIO_SUM,12457.499353408813
numeric__OWN_CAR_AGE,12186.944593429565
numeric__BURO_DAYS_ENDDATE_FACT_MAX,12186.072039604187
numeric__EXT_SOURCE_STD,12083.458763122559
numeric__CREDIT_PER_PERSON,11907.556924819946
numeric__CREDIT_INCOME_RATIO,11904.870896339417
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,11541.147758483887
numeric__INST_INST_PAYMENT_DELAY_MAX,11343.708384513855
numeric__BURO_AMT_CREDIT_SUM_SUM,10659.491202354431
numeric__BURO_AMT_CREDIT_SUM_MAX,10589.788380622864
numeric__POS_POS_COMPLETION_RATIO_MEAN,10493.743319511414
numeric__BURO_DAYS_CREDIT_SUM,10025.719613075256
numeric__PREV_AMT_DOWN_PAYMENT_SUM,9948.91950416565
numeric__REGION_POPULATION_RELATIVE,9828.70008468628
numeric__POS_MONTHS_BALANCE_MAX,9704.94199180603
numeric__BURO_DAYS_CREDIT_MAX,9603.360860824585
numeric__INST_AMT_INSTALMENT_MIN,9520.3459815979
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,9465.868161201477
numeric__PREV_CNT_PAYMENT_MEAN,9353.51790714264
numeric__DAYS_ID_PUBLISH,9195.619519233704
numeric__CC_CNT_DRAWINGS_CURRENT_MEAN,9164.379775047302
numeric__PREV_NAME_YIELD_GROUP_LOW_ACTION_RATE,9160.472199440002
numeric__INST_INST_PAYMENT_DIFF_MEAN,9128.843826293945
numeric__ID_PUBLISH_AGE_RATIO,8959.93197441101
numeric__CC_CC_UTILIZATION_RATIO_MEAN,8918.84368133545
numeric__PREV_DAYS_TERMINATION_MAX,8780.782031059265
numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,8734.247192382812
numeric__INST_INST_PAYMENT_DELAY_SUM,8339.16848564148
numeric__BURO_BURO_ENDDATE_CREDIT_GAP_MIN,8236.966571807861
numeric__PREV_SELLERPLACE_AREA_MEAN,8217.894001960754
numeric__PHONE_CHANGE_AGE_RATIO,8204.659607887268
numeric__INST_NUM_INSTALMENT_VERSION_MEAN,8191.920087814331
numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,8148.647169113159
numeric__BURO_AMT_CREDIT_SUM_MEAN,8036.132892608643
categorical__NAME_FAMILY_STATUS_Married,8024.827302932739
numeric__PREV_AMT_ANNUITY_MIN,7952.9270877838135
numeric__CC_CC_DRAWING_LIMIT_RATIO_MEAN,7739.580992698669
numeric__BURO_TYPE_MORTGAGE_RATE,7735.49002456665
numeric__BUILDING_FEATURE_MEAN,7715.9240617752075
numeric__PREV_AMT_ANNUITY_MEAN,7702.319111824036
numeric__REGION_RATING_CLIENT_W_CITY,7644.588062286377
numeric__BURO_AMT_CREDIT_SUM_MIN,7516.671065330505
