transformed_feature,gain_importance
numeric__EXT_SOURCE_MEAN,742010.4013671875
numeric__EXT_SOURCE_MIN,104920.91173362732
numeric__CREDIT_TERM_APPROX,69141.41234397888
numeric__EXT_SOURCE_MAX,67467.25361633301
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,57211.23838806152
numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,47486.43096160889
numeric__GOODS_CREDIT_RATIO,43679.736755371094
numeric__AGE_YEARS,36348.24025726318
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,33564.87546348572
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,29761.266792297363
numeric__AMT_ANNUITY,28861.357053756714
categorical__NAME_EDUCATION_TYPE_Higher education,22312.13507461548
numeric__INST_AMT_PAYMENT_SUM,22214.465183258057
numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,21037.869899749756
numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,20792.97959136963
numeric__EXT_SOURCE_3,20011.498350143433
categorical__CODE_GENDER_M,17932.661338806152
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,17647.035064697266
numeric__DAYS_EMPLOYED,16947.407373428345
numeric__EMPLOYMENT_AGE_RATIO,16864.788961410522
numeric__AMT_GOODS_PRICE,16697.23741531372
numeric__EMPLOYED_YEARS,16192.298166275024
numeric__EXT_SOURCE_1,15254.40079498291
categorical__CODE_GENDER_F,14976.303131103516
numeric__EXT_SOURCE_COUNT,14704.686367034912
numeric__ANNUITY_INCOME_RATIO,14103.321096420288
numeric__EXT_SOURCE_2,13585.013502120972
numeric__CC_CC_UTILIZATION_RATIO_MAX,12231.621784210205
numeric__AMT_CREDIT,11634.178253173828
numeric__OWN_CAR_AGE,11524.269630432129
numeric__POS_POS_COMPLETION_RATIO_SUM,10737.000135421753
numeric__INST_AMT_PAYMENT_MEAN,10633.313549041748
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,10301.899982452393
numeric__PREV_DAYS_LAST_DUE_MAX,9984.905813217163
numeric__ANNUITY_PER_PERSON,9531.612812042236
numeric__BURO_DAYS_ENDDATE_FACT_MAX,9429.996683120728
numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,9110.917335510254
numeric__EXT_SOURCE_STD,9098.981819152832
numeric__CC_CNT_DRAWINGS_CURRENT_MEAN,8802.293212890625
numeric__CREDIT_PER_PERSON,8795.094430923462
numeric__CC_CC_UTILIZATION_RATIO_MEAN,8775.869903564453
numeric__INST_AMT_PAYMENT_MIN,8697.340906143188
numeric__INST_INST_PAYMENT_DIFF_MEAN,8599.897108078003
categorical__NAME_FAMILY_STATUS_Married,8339.207181930542
numeric__POS_MONTHS_BALANCE_MAX,8299.81921005249
numeric__PREV_NAME_YIELD_GROUP_LOW_ACTION_RATE,8273.984655380249
numeric__POS_POS_COMPLETION_RATIO_MEAN,8231.951387405396
numeric__PREV_CNT_PAYMENT_MEAN,7953.895090103149
numeric__BURO_AMT_CREDIT_SUM_MAX,7814.249528884888
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,7729.251317977905
numeric__INST_INST_PAYMENT_DELAY_MAX,7723.712291717529
numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,7459.032890319824
numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,7269.5494174957275
numeric__REGION_RATING_CLIENT_W_CITY,6919.431335449219
categorical__FLAG_OWN_CAR_N,6910.4520053863525
numeric__BURO_AMT_CREDIT_SUM_SUM,6675.475515365601
numeric__DAYS_ID_PUBLISH,6660.196008682251
numeric__BURO_TYPE_MORTGAGE_RATE,6624.694286346436
numeric__INST_NUM_INSTALMENT_VERSION_MEAN,6590.814157485962
numeric__CC_CC_DRAWING_LIMIT_RATIO_MEAN,6551.637756347656
categorical__NAME_CONTRACT_TYPE_Cash loans,6385.52840423584
numeric__CREDIT_INCOME_RATIO,5819.433395385742
numeric__INST_INST_PAYMENT_DIFF_SUM,5815.0238037109375
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,5784.588298797607
categorical__NAME_INCOME_TYPE_Working,5720.330703735352
numeric__INST_INST_PAYMENT_RATIO_MEAN,5672.960704803467
numeric__BURO_AMT_CREDIT_SUM_MEAN,5660.522970199585
numeric__BURO_DAYS_CREDIT_SUM,5614.319787979126
numeric__PREV_AMT_DOWN_PAYMENT_SUM,5592.231130599976
numeric__BURO_BURO_DEBT_CREDIT_RATIO_SUM,5528.994297027588
numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,5481.430908203125
numeric__PREV_CODE_REJECT_REASON_XAP_RATE,5449.989772796631
numeric__POS_SK_DPD_DEF_MEAN,5312.9559898376465
numeric__INST_NUM_INSTALMENT_VERSION_SUM,5287.151809692383
numeric__PREV_NAME_YIELD_GROUP_HIGH_RATE,5201.75830078125
numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MAX,5194.5875244140625
numeric__PREV_AMT_DOWN_PAYMENT_MAX,5038.143522262573
numeric__BURO_DAYS_CREDIT_MAX,5016.485008239746
numeric__BURO_TYPE_MICROLOAN_RATE,4981.573793411255
numeric__INST_INST_UNDERPAYMENT_FLAG_MEAN,4920.574953079224
numeric__INST_AMT_INSTALMENT_MIN,4775.268505096436
numeric__ID_PUBLISH_AGE_RATIO,4755.815790176392
numeric__PREV_NAME_CONTRACT_STATUS_APPROVED_RATE,4723.546705245972
numeric__INST_INST_PAYMENT_DELAY_SUM,4684.232501983643
numeric__PREV_AMT_ANNUITY_MIN,4664.332294464111
numeric__PHONE_CHANGE_AGE_RATIO,4640.245000839233
numeric__PREV_AMT_ANNUITY_MEAN,4505.138381958008
numeric__ID_PUBLISH_YEARS,4437.186809539795
numeric__INST_AMT_INSTALMENT_SUM,4413.723190307617
numeric__INST_NUM_INSTALMENT_NUMBER_MAX,4406.601783752441
numeric__REGION_POPULATION_RELATIVE,4394.49330329895
numeric__INST_DAYS_INSTALMENT_MIN,4326.627233505249
numeric__PREV_DAYS_TERMINATION_MAX,4316.253639221191
numeric__INST_DAYS_ENTRY_PAYMENT_MIN,4075.626205444336
numeric__BURO_DAYS_ENDDATE_FACT_SUM,4021.8982219696045
numeric__BURO_AMT_CREDIT_SUM_MIN,3997.9870929718018
