feature_set,raw_feature_count,threshold,validation_roc_auc,validation_average_precision,validation_accuracy,validation_precision_class_1,validation_recall_class_1,validation_f1_class_1,top_20_features,groups
app_plus_bureau_plus_previous_application_plus_installments_payments_plus_POS_CASH_balance_plus_credit_card_balance,908,0.6875195632978339,0.7872454016497086,0.2720621888412609,0.8668143571399537,0.2807881773399014,0.4161631419939577,0.3353281265848463,numeric__EXT_SOURCE_MEAN; numeric__EXT_SOURCE_MIN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MAX; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX; numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX; numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN; numeric__AMT_ANNUITY; numeric__EXT_SOURCE_3; numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE; numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__INST_AMT_PAYMENT_SUM; numeric__DAYS_EMPLOYED; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN; categorical__CODE_GENDER_F; numeric__EXT_SOURCE_STD,"bureau,previous_application,installments_payments,POS_CASH_balance,credit_card_balance"
app_plus_bureau_plus_previous_application_plus_installments_payments,754,0.6708843401391901,0.7860362299528048,0.2694833534991619,0.8574244949392301,0.2678871090770404,0.4420946626384693,0.3336183148095373,numeric__EXT_SOURCE_MEAN; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__CREDIT_TERM_APPROX; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX; numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX; numeric__EXT_SOURCE_3; numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN; numeric__AMT_ANNUITY; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__DAYS_EMPLOYED; numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE; categorical__CODE_GENDER_F; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN; numeric__INST_AMT_PAYMENT_SUM; numeric__AMT_GOODS_PRICE; numeric__INST_AMT_INSTALMENT_MIN,"bureau,previous_application,installments_payments"
app_plus_bureau_plus_previous_application_plus_installments_payments_plus_POS_CASH_balance,799,0.6770145023155846,0.785561237973798,0.271132543579922,0.8603918539896752,0.2703345489139052,0.4292547834843907,0.3317443331063333,numeric__EXT_SOURCE_MEAN; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__CREDIT_TERM_APPROX; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX; numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX; numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN; numeric__AMT_ANNUITY; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE; categorical__CODE_GENDER_F; numeric__DAYS_EMPLOYED; numeric__INST_AMT_PAYMENT_SUM; numeric__EXT_SOURCE_3; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN; numeric__AMT_GOODS_PRICE; numeric__EMPLOYED_YEARS,"bureau,previous_application,installments_payments,POS_CASH_balance"
app_plus_bureau_plus_previous_application,709,0.6735409498028297,0.7793484693540167,0.2601549494037697,0.8568350880045527,0.263764995386035,0.4317724068479355,0.327477563490548,numeric__EXT_SOURCE_MEAN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX; numeric__AMT_ANNUITY; numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN; numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE; numeric__AMT_GOODS_PRICE; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__EXT_SOURCE_3; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN; numeric__DAYS_EMPLOYED; categorical__CODE_GENDER_F; numeric__ANNUITY_INCOME_RATIO; numeric__PREV_DAYS_LAST_DUE_MAX; numeric__EMPLOYED_YEARS,"bureau,previous_application"
app_plus_installments_payments,173,0.6395836346736266,0.7737509682524522,0.2558884068250945,0.8346002195032722,0.237591332829428,0.4748237663645518,0.3167086481947943,numeric__EXT_SOURCE_MEAN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MIN; numeric__GOODS_CREDIT_RATIO; numeric__EXT_SOURCE_MAX; numeric__AGE_YEARS; numeric__EXT_SOURCE_3; numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN; numeric__INST_AMT_INSTALMENT_MIN; numeric__AMT_ANNUITY; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__AMT_GOODS_PRICE; numeric__DAYS_EMPLOYED; numeric__INST_AMT_PAYMENT_SUM; numeric__INST_AMT_INSTALMENT_MAX; numeric__EMPLOYMENT_AGE_RATIO; categorical__CODE_GENDER_F; numeric__INST_DAYS_INSTALMENT_MIN; numeric__OWN_CAR_AGE; numeric__ANNUITY_INCOME_RATIO,installments_payments
app_plus_previous_application,535,0.6650061314322929,0.7729535167574748,0.2508438388117035,0.8500264216901752,0.2519295179845638,0.4355488418932527,0.3192176400036903,numeric__EXT_SOURCE_MEAN; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__CREDIT_TERM_APPROX; numeric__GOODS_CREDIT_RATIO; numeric__EXT_SOURCE_3; numeric__AGE_YEARS; numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX; numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN; numeric__AMT_ANNUITY; numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE; numeric__AMT_GOODS_PRICE; categorical__NAME_EDUCATION_TYPE_Higher education; categorical__CODE_GENDER_F; numeric__EXT_SOURCE_STD; numeric__DAYS_EMPLOYED; numeric__EMPLOYED_YEARS; numeric__PREV_DAYS_LAST_DUE_MAX; numeric__AMT_CREDIT; numeric__PREV_CNT_PAYMENT_MEAN,previous_application
app_plus_bureau,302,0.6682447578952552,0.7700633040614391,0.2563434704771359,0.8524856713141742,0.2535253525352535,0.4254783484390735,0.3177288964090994,numeric__EXT_SOURCE_MEAN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__EXT_SOURCE_3; numeric__AMT_ANNUITY; numeric__AMT_GOODS_PRICE; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN; numeric__DAYS_EMPLOYED; numeric__EXT_SOURCE_2; categorical__CODE_GENDER_F; numeric__EMPLOYMENT_AGE_RATIO; numeric__OWN_CAR_AGE; numeric__EXT_SOURCE_1; numeric__ANNUITY_INCOME_RATIO; numeric__AMT_CREDIT,bureau
app_plus_POS_CASH_balance,173,0.6702223055790284,0.7681445778196658,0.2526894690427006,0.8519572375106703,0.2527620185129889,0.4262336354481369,0.3173383317713215,numeric__EXT_SOURCE_MEAN; numeric__EXT_SOURCE_MIN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MAX; numeric__EXT_SOURCE_3; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__POS_CNT_INSTALMENT_FUTURE_MEAN; numeric__AMT_ANNUITY; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__AMT_GOODS_PRICE; categorical__CODE_GENDER_F; numeric__POS_POS_COMPLETION_RATIO_SUM; numeric__DAYS_EMPLOYED; numeric__POS_SK_DPD_DEF_MEAN; numeric__AMT_CREDIT; numeric__EMPLOYMENT_AGE_RATIO; numeric__POS_MONTHS_BALANCE_MAX; numeric__EMPLOYED_YEARS; numeric__OWN_CAR_AGE,POS_CASH_balance
app_plus_credit_card_balance,237,0.6608103051388418,0.7672399422533014,0.2487663360987488,0.8450469493110037,0.2437552624193095,0.4373111782477341,0.3130293746621013,numeric__EXT_SOURCE_MEAN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__EXT_SOURCE_3; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__AMT_ANNUITY; numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__AMT_GOODS_PRICE; categorical__CODE_GENDER_F; numeric__EMPLOYMENT_AGE_RATIO; numeric__DAYS_EMPLOYED; numeric__CC_CC_UTILIZATION_RATIO_MAX; numeric__EXT_SOURCE_STD; numeric__AMT_CREDIT; numeric__ANNUITY_INCOME_RATIO; numeric__EMPLOYED_YEARS; numeric__EXT_SOURCE_2,credit_card_balance
app_expanded_only,128,0.6888442787524717,0.7624021199468577,0.2439186006447562,0.8612251534490468,0.2576374745417515,0.3821752265861027,0.3077858880778589,numeric__EXT_SOURCE_MEAN; numeric__CREDIT_TERM_APPROX; numeric__EXT_SOURCE_MIN; numeric__EXT_SOURCE_MAX; numeric__EXT_SOURCE_3; numeric__GOODS_CREDIT_RATIO; numeric__AGE_YEARS; numeric__AMT_GOODS_PRICE; numeric__AMT_ANNUITY; categorical__NAME_EDUCATION_TYPE_Higher education; numeric__EMPLOYMENT_AGE_RATIO; categorical__CODE_GENDER_F; numeric__DAYS_EMPLOYED; numeric__EXT_SOURCE_2; numeric__AMT_CREDIT; numeric__ANNUITY_INCOME_RATIO; numeric__OWN_CAR_AGE; numeric__EMPLOYED_YEARS; numeric__ANNUITY_PER_PERSON; numeric__EXT_SOURCE_STD,
