feature_set,transformed_feature,gain_importance
app_expanded_only,numeric__EXT_SOURCE_MEAN,606182.1083517075
app_expanded_only,numeric__CREDIT_TERM_APPROX,116959.85679721832
app_expanded_only,numeric__EXT_SOURCE_MIN,86419.31217575073
app_expanded_only,numeric__EXT_SOURCE_MAX,77514.5269870758
app_expanded_only,numeric__EXT_SOURCE_3,47873.59228515625
app_expanded_only,numeric__GOODS_CREDIT_RATIO,47414.77876377106
app_expanded_only,numeric__AGE_YEARS,43674.245792388916
app_expanded_only,numeric__AMT_GOODS_PRICE,25052.016469955444
app_expanded_only,numeric__AMT_ANNUITY,23677.677689552307
app_expanded_only,categorical__NAME_EDUCATION_TYPE_Higher education,20119.18661880493
app_expanded_only,numeric__EMPLOYMENT_AGE_RATIO,19844.045176506042
app_expanded_only,categorical__CODE_GENDER_F,18616.970985412598
app_expanded_only,numeric__DAYS_EMPLOYED,17907.844007492065
app_expanded_only,numeric__EXT_SOURCE_2,17139.17978286743
app_expanded_only,numeric__AMT_CREDIT,16915.565302848816
app_expanded_only,numeric__ANNUITY_INCOME_RATIO,16348.131788253784
app_expanded_only,numeric__OWN_CAR_AGE,15793.800139427185
app_expanded_only,numeric__EMPLOYED_YEARS,14425.975012779236
app_expanded_only,numeric__ANNUITY_PER_PERSON,14406.507928848267
app_expanded_only,numeric__EXT_SOURCE_STD,14081.096308708191
app_expanded_only,numeric__EXT_SOURCE_1,13199.16490650177
app_expanded_only,numeric__DAYS_ID_PUBLISH,12297.912017822266
app_expanded_only,numeric__ID_PUBLISH_AGE_RATIO,10615.021841049194
app_expanded_only,numeric__CREDIT_PER_PERSON,10474.608261108398
app_expanded_only,numeric__CREDIT_INCOME_RATIO,10205.303679466248
app_expanded_only,numeric__ID_PUBLISH_YEARS,9897.665588378906
app_expanded_only,numeric__missingindicator_EXT_SOURCE_1,9633.506118774414
app_expanded_only,numeric__REGION_POPULATION_RELATIVE,9627.102415084839
app_expanded_only,numeric__EXT_SOURCE_COUNT,9210.74614906311
app_expanded_only,numeric__BUILDING_FEATURE_MEAN,8232.38219165802
app_expanded_only,numeric__REGISTRATION_AGE_RATIO,8199.038311004639
app_expanded_only,categorical__NAME_CONTRACT_TYPE_Cash loans,7605.812314987183
app_expanded_only,numeric__DAYS_LAST_PHONE_CHANGE,7594.820510864258
app_expanded_only,categorical__CODE_GENDER_M,7586.5471839904785
app_expanded_only,numeric__PHONE_CHANGE_AGE_RATIO,7391.111375808716
app_expanded_only,numeric__missingindicator_OWN_CAR_AGE,7355.107925415039
app_expanded_only,numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR,7000.603681564331
app_expanded_only,numeric__REGISTRATION_YEARS,6470.321192741394
app_expanded_only,numeric__AMT_INCOME_TOTAL,6276.01309967041
app_expanded_only,numeric__DAYS_REGISTRATION,6115.156700134277
app_expanded_only,numeric__REGION_RATING_CLIENT_W_CITY,6112.313207626343
app_expanded_only,numeric__PHONE_CHANGE_YEARS,6038.131418228149
app_expanded_only,categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,5808.156625747681
app_expanded_only,numeric__INCOME_PER_PERSON,5783.713209152222
app_expanded_only,categorical__NAME_INCOME_TYPE_Working,5035.218797683716
app_expanded_only,numeric__HOUR_APPR_PROCESS_START,5000.282321929932
app_expanded_only,categorical__NAME_FAMILY_STATUS_Married,4989.956315040588
app_expanded_only,numeric__TOTALAREA_MODE,4984.303874969482
app_expanded_only,numeric__SOCIAL_DEFAULT_RATIO_60,4944.965392112732
app_expanded_only,numeric__AMT_REQ_CREDIT_BUREAU_QRT,4810.356912612915
app_plus_bureau,numeric__EXT_SOURCE_MEAN,596932.9498300552
app_plus_bureau,numeric__CREDIT_TERM_APPROX,98730.83001899719
app_plus_bureau,numeric__EXT_SOURCE_MIN,97962.73647785187
app_plus_bureau,numeric__EXT_SOURCE_MAX,52681.83143234253
app_plus_bureau,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,47199.00301361084
app_plus_bureau,numeric__GOODS_CREDIT_RATIO,43673.01292228699
app_plus_bureau,numeric__AGE_YEARS,39152.42260456085
app_plus_bureau,numeric__EXT_SOURCE_3,29694.543979644775
app_plus_bureau,numeric__AMT_ANNUITY,22284.104135513306
app_plus_bureau,numeric__AMT_GOODS_PRICE,22022.44679927826
app_plus_bureau,categorical__NAME_EDUCATION_TYPE_Higher education,21532.995805740356
app_plus_bureau,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,20360.912448883057
app_plus_bureau,numeric__DAYS_EMPLOYED,17920.442584991455
app_plus_bureau,numeric__EXT_SOURCE_2,17364.284075737
app_plus_bureau,categorical__CODE_GENDER_F,16979.700567245483
app_plus_bureau,numeric__EMPLOYMENT_AGE_RATIO,15822.067494392395
app_plus_bureau,numeric__OWN_CAR_AGE,13231.547388076782
app_plus_bureau,numeric__EXT_SOURCE_1,12345.679201126099
app_plus_bureau,numeric__ANNUITY_INCOME_RATIO,11861.677300453186
app_plus_bureau,numeric__AMT_CREDIT,11857.255632400513
app_plus_bureau,numeric__ANNUITY_PER_PERSON,11697.686605453491
app_plus_bureau,numeric__EMPLOYED_YEARS,11175.2336769104
app_plus_bureau,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,10957.331778526306
app_plus_bureau,numeric__BURO_DAYS_ENDDATE_FACT_MAX,10053.522108078003
app_plus_bureau,numeric__missingindicator_EXT_SOURCE_1,9796.690654754639
app_plus_bureau,numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,9476.353881835938
app_plus_bureau,numeric__BURO_AMT_CREDIT_SUM_SUM,9200.627891540527
app_plus_bureau,numeric__BURO_AMT_CREDIT_SUM_MAX,9176.973087310791
app_plus_bureau,numeric__DAYS_ID_PUBLISH,8935.381505012512
app_plus_bureau,numeric__BURO_AMT_CREDIT_SUM_MIN,8897.357200622559
app_plus_bureau,numeric__EXT_SOURCE_STD,8871.590065002441
app_plus_bureau,numeric__BURO_BURO_DEBT_CREDIT_RATIO_SUM,8811.362512588501
app_plus_bureau,categorical__CODE_GENDER_M,8500.138778686523
app_plus_bureau,numeric__ID_PUBLISH_YEARS,7980.460173606873
app_plus_bureau,numeric__EXT_SOURCE_COUNT,7631.62547492981
app_plus_bureau,numeric__BURO_BURO_ENDDATE_CREDIT_GAP_MIN,7618.320525169373
app_plus_bureau,numeric__BURO_DAYS_CREDIT_MAX,7504.361474990845
app_plus_bureau,numeric__CREDIT_PER_PERSON,7457.867500305176
