transformed_feature,gain_importance
numeric__EXT_SOURCE_MEAN,784736.5084590912
numeric__EXT_SOURCE_MIN,89092.32126808167
numeric__CREDIT_TERM_APPROX,66308.98976325989
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,55405.263219833374
numeric__EXT_SOURCE_MAX,49784.93307685852
numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,46739.49673461914
numeric__GOODS_CREDIT_RATIO,44598.40472984314
numeric__AGE_YEARS,37021.681774139404
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,33583.764293670654
numeric__AMT_ANNUITY,29075.401876449585
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,28725.616329193115
numeric__INST_AMT_PAYMENT_SUM,23581.083116531372
categorical__NAME_EDUCATION_TYPE_Higher education,21758.80728149414
numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,21076.972103118896
numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,20426.334384918213
numeric__DAYS_EMPLOYED,19747.165002822876
numeric__AMT_GOODS_PRICE,17823.03070640564
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,17334.788040161133
categorical__CODE_GENDER_F,16315.184154510498
categorical__CODE_GENDER_M,15922.62329864502
numeric__EMPLOYMENT_AGE_RATIO,15762.054403305054
numeric__ANNUITY_INCOME_RATIO,15262.507595062256
numeric__EXT_SOURCE_3,14975.986694335938
numeric__missingindicator_EXT_SOURCE_1,14787.136587142944
numeric__EMPLOYED_YEARS,13342.105567932129
numeric__CC_CC_UTILIZATION_RATIO_MAX,11096.092823028564
numeric__AMT_CREDIT,10831.077871322632
numeric__INST_AMT_PAYMENT_MEAN,10633.737308502197
numeric__OWN_CAR_AGE,10557.81982421875
numeric__POS_POS_COMPLETION_RATIO_SUM,10343.891513824463
numeric__EXT_SOURCE_2,10246.9760055542
numeric__INST_INST_PAYMENT_DIFF_MEAN,9808.225221633911
numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,9123.156581878662
numeric__INST_AMT_PAYMENT_MIN,8911.154899597168
numeric__PREV_DAYS_LAST_DUE_MAX,8805.525224685669
numeric__CC_CC_UTILIZATION_RATIO_MEAN,8734.863986968994
categorical__NAME_FAMILY_STATUS_Married,8697.289987564087
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,8487.167945861816
numeric__ANNUITY_PER_PERSON,8419.294288635254
numeric__PREV_NAME_YIELD_GROUP_LOW_ACTION_RATE,8122.5341148376465
numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,7713.305015563965
numeric__INST_INST_PAYMENT_DELAY_MAX,7682.898706436157
numeric__EXT_SOURCE_1,7647.255077362061
numeric__BURO_DAYS_ENDDATE_FACT_MAX,7639.503396987915
numeric__BURO_AMT_CREDIT_SUM_SUM,7605.180316925049
numeric__PREV_CNT_PAYMENT_MEAN,7537.417587280273
numeric__PREV_AMT_DOWN_PAYMENT_SUM,7533.90961265564
numeric__POS_POS_COMPLETION_RATIO_MEAN,7272.54443359375
numeric__POS_MONTHS_BALANCE_MAX,7253.335519790649
numeric__CC_CNT_DRAWINGS_CURRENT_MEAN,7173.056056976318
numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,7119.440296173096
numeric__CC_CC_DRAWING_LIMIT_RATIO_MEAN,7107.875732421875
numeric__CREDIT_PER_PERSON,6905.510730743408
numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,6816.381797790527
numeric__DAYS_ID_PUBLISH,6688.840003967285
numeric__BURO_TYPE_MORTGAGE_RATE,6648.938331604004
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,6568.221874237061
numeric__REGION_RATING_CLIENT_W_CITY,6552.777881622314
numeric__BURO_AMT_CREDIT_SUM_MAX,6495.865791320801
numeric__CREDIT_INCOME_RATIO,6363.597270965576
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,5844.540725708008
numeric__INST_NUM_INSTALMENT_VERSION_MEAN,5812.3445835113525
categorical__NAME_CONTRACT_TYPE_Cash loans,5809.060985565186
numeric__INST_INST_PAYMENT_RATIO_MEAN,5747.233589172363
categorical__NAME_INCOME_TYPE_Working,5665.8759765625
numeric__PREV_CODE_REJECT_REASON_XAP_RATE,5664.566905975342
numeric__POS_SK_DPD_DEF_MEAN,5389.7665729522705
numeric__EXT_SOURCE_COUNT,5367.389099121094
numeric__BURO_BURO_DEBT_CREDIT_RATIO_SUM,5341.19282913208
numeric__BURO_DAYS_CREDIT_SUM,5175.211826324463
numeric__INST_INST_PAYMENT_DIFF_SUM,5046.416130065918
numeric__INST_INST_PAYMENT_DELAY_SUM,5025.076904296875
numeric__ID_PUBLISH_YEARS,4917.630792617798
numeric__INST_AMT_INSTALMENT_MIN,4769.836166381836
numeric__INST_DAYS_INSTALMENT_MIN,4660.461414337158
numeric__INST_NUM_INSTALMENT_VERSION_SUM,4627.941917419434
numeric__BURO_TYPE_MICROLOAN_RATE,4606.277095794678
numeric__PREV_DAYS_TERMINATION_MAX,4508.131076812744
numeric__REGION_POPULATION_RELATIVE,4488.578702926636
numeric__PREV_NAME_CONTRACT_STATUS_APPROVED_RATE,4469.678058624268
numeric__ID_PUBLISH_AGE_RATIO,4438.3403968811035
numeric__BURO_DAYS_CREDIT_MAX,4404.986793518066
