feature_set,transformed_feature,gain_importance
all_features_no_missing_indicators,numeric__EXT_SOURCE_MEAN,632089.5138339996
all_features_no_missing_indicators,numeric__EXT_SOURCE_MIN,69370.45906448364
all_features_no_missing_indicators,numeric__CREDIT_TERM_APPROX,54865.1490650177
all_features_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,43540.31735420227
all_features_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,35244.932081222534
all_features_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,34561.157859802246
all_features_no_missing_indicators,numeric__EXT_SOURCE_MAX,33692.25076675415
all_features_no_missing_indicators,numeric__AGE_YEARS,29426.947637557983
all_features_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,25593.892168045044
all_features_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,23486.262552261353
all_features_no_missing_indicators,numeric__EXT_SOURCE_3,21339.872709274292
all_features_no_missing_indicators,numeric__AMT_ANNUITY,20821.104082107544
all_features_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,19859.130613327026
all_features_no_missing_indicators,categorical__NAME_EDUCATION_TYPE_Higher education,18853.818634033203
all_features_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,18357.79358100891
all_features_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,17870.068552017212
all_features_no_missing_indicators,categorical__CODE_GENDER_F,17134.284343719482
all_features_no_missing_indicators,numeric__DAYS_EMPLOYED,16308.169340133667
all_features_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,15655.439405441284
all_features_no_missing_indicators,numeric__AMT_GOODS_PRICE,13696.935800552368
all_features_no_missing_indicators,numeric__EXT_SOURCE_2,12780.258546829224
all_features_no_missing_indicators,numeric__EMPLOYED_YEARS,12453.679727554321
all_features_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,11594.19870185852
all_features_no_missing_indicators,numeric__EXT_SOURCE_1,11149.559608459473
all_features_no_missing_indicators,numeric__OWN_CAR_AGE,11011.761753082275
all_features_no_missing_indicators,numeric__AMT_CREDIT,10233.865585327148
all_features_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,9957.366428375244
all_features_no_missing_indicators,categorical__CODE_GENDER_M,9731.399740219116
all_features_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,9638.882316589355
all_features_no_missing_indicators,numeric__ANNUITY_PER_PERSON,9478.633682250977
all_features_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,9313.76469039917
all_features_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,9227.692951202393
all_features_no_missing_indicators,numeric__EXT_SOURCE_STD,8847.348190307617
all_features_no_missing_indicators,numeric__EXT_SOURCE_COUNT,8744.229278564453
all_features_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,8680.737407684326
all_features_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,8258.192783355713
all_features_no_missing_indicators,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,7677.715850830078
all_features_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,7273.73451423645
all_features_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,7115.852334976196
all_features_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_SUM,6878.806583404541
all_features_no_missing_indicators,numeric__CREDIT_INCOME_RATIO,6804.963001251221
all_features_no_missing_indicators,numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,6768.331205368042
all_features_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_MEAN,6653.457483291626
all_features_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,6574.687593460083
all_features_no_missing_indicators,numeric__PREV_CNT_PAYMENT_MEAN,6505.044284820557
all_features_no_missing_indicators,numeric__INST_INST_PAYMENT_RATIO_MEAN,6449.4333152771
all_features_no_missing_indicators,numeric__CREDIT_PER_PERSON,6437.5387172698975
all_features_no_missing_indicators,categorical__NAME_FAMILY_STATUS_Married,6250.040096282959
all_features_no_missing_indicators,numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6146.802234649658
all_features_no_missing_indicators,numeric__BURO_DAYS_ENDDATE_FACT_MAX,6043.886791229248
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_MEAN,588830.1300907135
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_MAX,77060.20793151855
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_MIN,66907.37673187256
positive_gain_raw_grouped_ohe,numeric__CREDIT_TERM_APPROX,53296.048278808594
positive_gain_raw_grouped_ohe,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,43405.490926742554
positive_gain_raw_grouped_ohe,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,36062.911474227905
positive_gain_raw_grouped_ohe,numeric__GOODS_CREDIT_RATIO,34403.76230430603
positive_gain_raw_grouped_ohe,numeric__AGE_YEARS,31339.516748428345
positive_gain_raw_grouped_ohe,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,26032.61000442505
positive_gain_raw_grouped_ohe,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,22916.766859054565
positive_gain_raw_grouped_ohe,numeric__AMT_ANNUITY,21974.09497642517
positive_gain_raw_grouped_ohe,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,19677.17289161682
positive_gain_raw_grouped_ohe,categorical__NAME_EDUCATION_TYPE_Higher education,19041.946781158447
positive_gain_raw_grouped_ohe,numeric__DAYS_EMPLOYED,18165.997774124146
positive_gain_raw_grouped_ohe,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,17920.906047821045
positive_gain_raw_grouped_ohe,numeric__INST_AMT_PAYMENT_SUM,17511.644302368164
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_3,17004.028839111328
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_STD,16343.875539779663
