transformed_feature,gain_importance
numeric__EXT_SOURCE_MEAN,772804.6265258789
numeric__EXT_SOURCE_MIN,94163.04529953003
numeric__CREDIT_TERM_APPROX,70346.8495464325
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,57422.85351371765
numeric__EXT_SOURCE_MAX,57393.34232711792
numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,48106.25561141968
numeric__GOODS_CREDIT_RATIO,44975.756299972534
numeric__AGE_YEARS,38309.24221229553
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,35227.01531410217
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,30345.119716644287
numeric__AMT_ANNUITY,29814.89490699768
numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,23058.053344726562
numeric__INST_AMT_PAYMENT_SUM,22458.70581626892
numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,22441.945192337036
categorical__NAME_EDUCATION_TYPE_Higher education,22361.015243530273
numeric__EXT_SOURCE_3,18710.042051315308
numeric__DAYS_EMPLOYED,18602.24071121216
numeric__AMT_GOODS_PRICE,18462.595106124878
categorical__CODE_GENDER_M,17608.981874465942
numeric__EMPLOYMENT_AGE_RATIO,17606.82910346985
numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,17394.306114196777
categorical__CODE_GENDER_F,15778.46517944336
numeric__EMPLOYED_YEARS,15396.17207145691
numeric__ANNUITY_INCOME_RATIO,14985.335245132446
numeric__EXT_SOURCE_1,14506.197166442871
numeric__EXT_SOURCE_COUNT,13681.71499824524
numeric__AMT_CREDIT,12332.012998580933
numeric__CC_CC_UTILIZATION_RATIO_MAX,12305.836778640747
numeric__OWN_CAR_AGE,11821.718532562256
numeric__INST_AMT_PAYMENT_MEAN,11568.132469177246
numeric__EXT_SOURCE_2,11525.48609161377
numeric__POS_POS_COMPLETION_RATIO_SUM,11286.010025024414
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,10626.768280029297
numeric__INST_INST_PAYMENT_DIFF_MEAN,10518.874647140503
numeric__PREV_DAYS_LAST_DUE_MAX,10410.049230575562
numeric__ANNUITY_PER_PERSON,10008.740999221802
numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,9899.551067352295
numeric__CC_CC_UTILIZATION_RATIO_MEAN,9498.22981262207
numeric__POS_POS_COMPLETION_RATIO_MEAN,9472.274541854858
numeric__BURO_DAYS_ENDDATE_FACT_MAX,9366.9817943573
numeric__CC_CNT_DRAWINGS_CURRENT_MEAN,8839.444805145264
numeric__INST_INST_PAYMENT_DELAY_MAX,8793.739400863647
numeric__CC_CC_DRAWING_LIMIT_RATIO_MEAN,8519.863620758057
numeric__POS_MONTHS_BALANCE_MAX,8379.65478515625
numeric__DAYS_ID_PUBLISH,8365.834796905518
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,8332.17593574524
numeric__PREV_NAME_YIELD_GROUP_LOW_ACTION_RATE,8309.407377243042
numeric__BURO_AMT_CREDIT_SUM_SUM,8306.626337051392
numeric__BURO_AMT_CREDIT_SUM_MAX,8286.570472717285
numeric__PREV_CNT_PAYMENT_MEAN,8207.89423751831
categorical__NAME_FAMILY_STATUS_Married,8004.110025405884
numeric__CREDIT_PER_PERSON,7937.70959854126
numeric__INST_AMT_PAYMENT_MIN,7916.056303024292
