feature_set,transformed_feature,gain_importance
domain_250_no_missing_indicators,numeric__EXT_SOURCE_MEAN,603365.9303760529
domain_250_no_missing_indicators,numeric__EXT_SOURCE_MIN,89142.7142868042
domain_250_no_missing_indicators,numeric__CREDIT_TERM_APPROX,58590.59594535828
domain_250_no_missing_indicators,numeric__EXT_SOURCE_MAX,53968.78579902649
domain_250_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,43123.5967464447
domain_250_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,37852.121547698975
domain_250_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,37369.64103889465
domain_250_no_missing_indicators,numeric__AGE_YEARS,33771.83899688721
domain_250_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,28612.297632217407
domain_250_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,25025.99126625061
domain_250_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,23067.925546646118
domain_250_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,22939.5322265625
domain_250_no_missing_indicators,numeric__AMT_ANNUITY,22514.530075073242
domain_250_no_missing_indicators,numeric__EXT_SOURCE_3,20939.87318611145
domain_250_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,20797.093215942383
domain_250_no_missing_indicators,categorical__NAME_EDUCATION_TYPE_Higher education,19517.679092407227
domain_250_no_missing_indicators,numeric__AMT_GOODS_PRICE,17136.867290496826
domain_250_no_missing_indicators,categorical__CODE_GENDER_F,16881.077741622925
domain_250_no_missing_indicators,numeric__DAYS_EMPLOYED,16830.085592269897
domain_250_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,16475.158069610596
domain_250_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,15723.769203186035
domain_250_no_missing_indicators,numeric__OWN_CAR_AGE,15644.186200141907
domain_250_no_missing_indicators,numeric__EMPLOYED_YEARS,14649.429712295532
domain_250_no_missing_indicators,numeric__EXT_SOURCE_1,14593.391317367554
domain_250_no_missing_indicators,numeric__DAYS_ID_PUBLISH,13136.744588851929
domain_250_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,11743.742628097534
domain_250_no_missing_indicators,numeric__PREV_AMT_DOWN_PAYMENT_SUM,11522.667272567749
domain_250_no_missing_indicators,numeric__EXT_SOURCE_2,11355.702661514282
domain_250_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,11189.84211730957
domain_250_no_missing_indicators,numeric__ANNUITY_PER_PERSON,11169.854574203491
domain_250_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,11107.07522392273
domain_250_no_missing_indicators,numeric__EXT_SOURCE_COUNT,10860.844669342041
domain_250_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,10692.671556472778
domain_250_no_missing_indicators,categorical__CODE_GENDER_M,10649.313724517822
domain_250_no_missing_indicators,numeric__AMT_CREDIT,10633.91258430481
domain_250_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,10136.224430084229
domain_250_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,10118.842777252197
domain_250_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,10094.720808029175
domain_250_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,9457.706211090088
domain_250_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,9407.753545761108
domain_250_no_missing_indicators,numeric__CREDIT_PER_PERSON,9147.927389144897
domain_250_no_missing_indicators,numeric__BURO_DAYS_ENDDATE_FACT_MAX,8583.6637134552
domain_250_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_MAX,8324.269407272339
domain_250_no_missing_indicators,numeric__POS_MONTHS_BALANCE_MAX,8310.00171470642
domain_250_no_missing_indicators,numeric__EXT_SOURCE_STD,7875.707998275757
domain_250_no_missing_indicators,numeric__BURO_TYPE_MORTGAGE_RATE,7851.4174518585205
domain_250_no_missing_indicators,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,7842.797124862671
domain_250_no_missing_indicators,numeric__BURO_DAYS_CREDIT_SUM,7679.168088912964
domain_250_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_SUM,7482.1023025512695
domain_250_no_missing_indicators,numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,7427.438591003418
domain_200_no_missing_indicators,numeric__EXT_SOURCE_MEAN,593928.7350492477
domain_200_no_missing_indicators,numeric__EXT_SOURCE_MIN,84370.5356502533
domain_200_no_missing_indicators,numeric__CREDIT_TERM_APPROX,69913.90549659729
domain_200_no_missing_indicators,numeric__EXT_SOURCE_MAX,53993.412117004395
domain_200_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,42419.89040565491
domain_200_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,40826.75566864014
domain_200_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,39404.10676383972
domain_200_no_missing_indicators,numeric__AGE_YEARS,34014.04987049103
domain_200_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,28915.624465942383
domain_200_no_missing_indicators,numeric__EXT_SOURCE_3,28539.57207584381
domain_200_no_missing_indicators,numeric__DAYS_EMPLOYED,28209.94634437561
domain_200_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,27009.528973579407
domain_200_no_missing_indicators,numeric__AMT_ANNUITY,26917.397070884705
domain_200_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,24569.161379814148
domain_200_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,23319.025631904602
domain_200_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,19238.11540031433
domain_200_no_missing_indicators,numeric__EXT_SOURCE_1,19099.260535240173
domain_200_no_missing_indicators,numeric__EXT_SOURCE_2,18487.767906188965
domain_200_no_missing_indicators,numeric__AMT_GOODS_PRICE,18318.38761138916
domain_200_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,17421.586185455322
domain_200_no_missing_indicators,numeric__ANNUITY_PER_PERSON,16380.098373413086
domain_200_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,16086.393465042114
domain_200_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,14966.411980628967
domain_200_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,13773.34877204895
domain_200_no_missing_indicators,numeric__EXT_SOURCE_COUNT,12827.213506698608
domain_200_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,12714.342998504639
domain_200_no_missing_indicators,numeric__OWN_CAR_AGE,12169.464308738708
domain_200_no_missing_indicators,numeric__AMT_CREDIT,12102.439700126648
domain_200_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,11778.399496078491
domain_200_no_missing_indicators,numeric__EXT_SOURCE_STD,10532.982048034668
domain_200_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,10524.085577011108
domain_200_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,10514.715973854065
domain_200_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_MAX,10495.736968040466
domain_200_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,10385.995388031006
domain_200_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,9943.565683364868
domain_200_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MIN,9888.36968421936
domain_200_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,9887.477306365967
